index	ID	SM	LB	PU	PL
69	FPC22_7_HHKTMCCX2_7	FPC22	7	HHKTMCCX2_7	Illumina
70	FPC24_7_HHKTMCCX2_7	FPC24	7	HHKTMCCX2_7	Illumina
71	FPQ10_7_HHKTMCCX2_7	FPQ10	7	HHKTMCCX2_7	Illumina
72	FPQ11_7_HHKTMCCX2_7	FPQ11	7	HHKTMCCX2_7	Illumina
73	FPC17_8_HHKTMCCX2_7	FPC17	8	HHKTMCCX2_7	Illumina
74	FPC25_8_HHKTMCCX2_7	FPC25	8	HHKTMCCX2_7	Illumina
75	FPC26_8_HHKTMCCX2_7	FPC26	8	HHKTMCCX2_7	Illumina
76	FPC27_8_HHKTMCCX2_7	FPC27	8	HHKTMCCX2_7	Illumina
77	FPC28_8_HHKTMCCX2_7	FPC28	8	HHKTMCCX2_7	Illumina
78	FPC29_8_HHKTMCCX2_7	FPC29	8	HHKTMCCX2_7	Illumina
79	FPC30_8_HHKTMCCX2_7	FPC30	8	HHKTMCCX2_7	Illumina
80	FPQ15_8_HHKTMCCX2_7	FPQ15	8	HHKTMCCX2_7	Illumina
81	FRI10_8_HHKTMCCX2_7	FRI10	8	HHKTMCCX2_7	Illumina
82	FRI16_8_HHKTMCCX2_7	FRI16	8	HHKTMCCX2_7	Illumina
83	FLE14_9_HHKTMCCX2_7	FLE14	9	HHKTMCCX2_7	Illumina
84	FPC05_9_HHKTMCCX2_7	FPC05	9	HHKTMCCX2_7	Illumina
85	FRI07_9_HHKTMCCX2_7	FRI07	9	HHKTMCCX2_7	Illumina
86	GGY04_10_HHKTMCCX2_7	GGY04	10	HHKTMCCX2_7	Illumina
87	GGY06_10_HHKTMCCX2_7	GGY06	10	HHKTMCCX2_7	Illumina
88	GGY07_10_HHKTMCCX2_7	GGY07	10	HHKTMCCX2_7	Illumina
89	GGY13_10_HHKTMCCX2_7	GGY13	10	HHKTMCCX2_7	Illumina
90	GGY14_10_HHKTMCCX2_7	GGY14	10	HHKTMCCX2_7	Illumina
91	GGY15_10_HHKTMCCX2_7	GGY15	10	HHKTMCCX2_7	Illumina
